,video_name,question,answer
5777,p-lwebxSYyo,какого цвета краска,апельсин
5778,Bdpqtvdx2T8,какого цвета краска,красный
5779,rzsp_r9fq_A,какого цвета краска,зеленый
5780,mnS-nMZne3I,какого цвета штаны у ныряльщика,черный
5781,O2vrVwjqktg,какого цвета одежда человека в черных штанах,красный
5782,ohNtDBYmhX0,какого цвета одежда человека в черных штанах,красный
5783,hRIXXCe0Hi0,какого цвета одежда человека в шляпе,красный
5784,NDWJOqVUGeA,какого цвета одежда человека в шляпе,синий
5785,JksdZ0YMkoQ,какого цвета одежда у человека с серебряными волосами,красный
5786,bz9R-Xa5xqM,какого цвета одежда у человека с серебряными волосами,черный
5787,l_cjSGt5j40,какого цвета одежда у человека с серебряными волосами,красный
5788,g_KbloQigw8,какого цвета одежда человека в черной рубашке,черный
5789,XThYcZoFMMs,какой цвет одежды у человека на видео,синий
5790,19SHLOheCmo,какой цвет одежды у человека на видео,синий
5791,0QDPpdms08g,какой цвет одежды у человека на видео,черный
5792,B-lmXhRr6bE,какой цвет одежды у человека на видео,красный
5793,Acogo5mgX4Q,какой цвет одежды у человека на видео,красный
5794,EVfTWz5GRGw,какой цвет одежды у человека на видео,черный
5795,ggw-70xi0dA,какой цвет одежды у человека на видео,желтый
5796,aTvt_fP243g,какой цвет одежды у человека на видео,черный
5797,-AUKiMfqga4,какой цвет одежды у человека на видео,красный
5798,Hujj6Q1Et3k,какого цвета одежда у человека на видео,белый
5799,f_mbX87xabo,какого цвета одежда у человека на видео,белый
5800,6Eh7B3GnQWI,какого цвета одежда у человека на видео,розовый
5801,p0O-EsMFcL4,какого цвета одежда у человека на видео,желтый
5802,DfYDYCWkB-o,какого цвета одежда у человека на видео,черный
5803,kRMskyrrRcA,какого цвета одежда у человека на видео,белый
5804,gWyBBQtsDhc,какого цвета одежда у человека на видео,черный
5805,GhwvPy4_2KE,какого цвета одежда у человека на видео,красный
5806,mGLCCohSA0A,какого цвета одежда у человека на видео,фиолетовый
5807,DfpUMDpSbS4,какого цвета одежда у человека на видео,белый
5808,0EbXjHsMBmM,какого цвета одежда у человека на видео,белый
5809,p2n_FtzA1gk,какого цвета одежда у человека на видео,розовый
5810,Hs1fGDcU6Js,какого цвета одежда у человека на видео,синий
5811,GWJw2jR2mTY,какого цвета одежда у человека на видео,белый
5812,4E40jmmc2N8,какого цвета одежда у человека на видео,апельсин
5813,gusezUdYfNA,какого цвета одежда у человека на видео,черный
5814,P4Z4sQNQtJM,какого цвета одежда у человека на видео,розовый
5815,5V47VQHzWHc,какого цвета одежда у человека на видео,черный
5816,GKhuh6bha6U,какого цвета одежда у человека на видео,белый
5817,gHYcZYkrxxQ,какого цвета одежда у человека на видео,черный
5818,Z7gECmnHeKk,какого цвета одежда у человека на видео,красный
5819,gSOUhz7yQ-s,какого цвета одежда у человека на видео,черный
5820,P0A0rMgjXGQ,какого цвета одежда у человека на видео,желтый
5821,flfLCoLHm2k,какого цвета одежда у человека на видео,розовый
5822,5SzzJMuyC_M,какого цвета одежда у человека на видео,серый
5823,f3spxjpfuxM,какого цвета одежда у человека на видео,синий
5824,3CImIarFM30,какого цвета одежда у человека на видео,синий
5825,cSfs5ht9sro,какого цвета одежда у человека на видео,красный
5826,v1ukgczEA5A,какого цвета одежда у человека на видео,черный
5827,sWEbq5Ry63Q,какого цвета одежда у человека на видео,фиолетовый
5828,5vk8OuKkttU,какого цвета одежда у человека на видео,черный
5829,p1pkFRHG7UY,какого цвета одежда у человека на видео,зеленый
5830,A8q6beSMpEE,какого цвета пальто у человека на видео,серый
5831,aA6Bchzww4Y,какого цвета пальто у человека на видео,черный
5832,pK3OSevBqDw,какого цвета одежда человека в черной шляпе,белый
5833,IPehEfMBLM0,какого цвета одежда человека в шляпе,фиолетовый
5834,Gn7Ha7l1uOk,какого цвета одежда человека в шляпе,черный
5835,9hR1MHvXGv8,какого цвета одежда человека в шляпе,апельсин
5836,sX8Rr1o4XWM,какого цвета одежда человека в шляпе,белый
5837,JXvPFMjtbcw,какого цвета одежда человека в шляпе,черный
5838,4S09Z8HRtdo,какого цвета одежда человека в шляпе,белый
5839,opGZh9nUlWA,какого цвета одежда у человека на видео,белый
5840,UKhH_iEifrU,какого цвета одежда у человека на видео,синий
5841,uM6ErLnAGW4,какого цвета одежда у человека на видео,зеленый
5842,Y-SehqCvzME,какого цвета одежда у человека на видео,черный
5843,z0vMpInrDqM,какого цвета одежда у человека на видео,желтый
5844,tww0AR8NanU,какого цвета одежда у человека на видео,черный
5845,tN8mcdcwCwc,какого цвета одежда у человека на видео,черный
5846,htfrXrKUIzg,какого цвета одежда у человека на видео,черный
5847,ygmYkKbS-4U,какого цвета одежда у человека на видео,синий
5848,ybhc3-s7aYo,какого цвета одежда у человека на видео,черный
5849,tVbrnWNOmFY,какого цвета одежда у человека на видео,черный
5850,ADbp9ObJVxE,какого цвета перчатка у человека на видео,фиолетовый
5851,nFhBmNJ9zN0,какого цвета перчатка у человека на видео,коричневый
5852,VLg5XqBRorY,какого цвета перчатки у человека в белой одежде,белый
5853,GjjRDUirW7g,какого цвета волосы у человека в черной рубашке,черный
5854,ZuuY0xffLYE,какого цвета волосы у человека в черной рубашке,черный
5855,q53Ajkll_kw,какого цвета волосы у человека в черном платье,золотой
5856,GZiG-aSzIJI,какого цвета волосы у человека в клетчатой ​​рубашке,черный
5857,x06fLYM58wM,какого цвета волосы у человека в красном платье,коричневый
5858,wdsZn1Yu_5M,какого цвета волосы у человека в красном платье,золотой
5859,n50dwUENM1E,какого цвета волосы у человека в рубашке,золотой
5860,NnEUVHhtLZs,какого цвета волосы у человека в рубашке,серый
5861,6AwS8vWMwSA,какого цвета волосы у человека в платье,золотой
5862,GZjNt2TsChs,какого цвета волосы у человека в платье,золотой
5863,qf5wMRlZYnQ,какого цвета волосы у человека в платье,коричневый
5864,JA-B3KK9A-I,какого цвета волосы у человека в плавках,золотой
5865,XC6tvSBS0PA,какого цвета волосы у человека в плавках,черный
5866,gDNgiybMA1s,какого цвета волосы у человека в белой рубашке,черный
5867,Q6tYENILn40,какого цвета волосы у человека в белой рубашке,желтый
5868,ZNUkzdw2EeI,какого цвета волосы у человека в желтой одежде,желтый
5869,zxOcSuLSrU4,какого цвета волосы у человека в желтой одежде,коричневый
5870,54K2F3zAZ0o,какого цвета волосы у человека в желтой одежде,черный
5871,QgzpNg0Ponc,какого цвета волосы у человека в оранжевом пальто,золотой
5872,wC-k0Zfx-cM,какого цвета волосы у человека в черных штанах,черный
5873,Nj_fvFbf56I,какого цвета волосы у человека в черных штанах,коричневый
5874,hx0WYKDa7PM,какого цвета волосы у человека в черных штанах,черный
5875,YCdPa5gJYmc,какого цвета волосы у человека в черных штанах,коричневый
5876,wJV-kQRmaGc,какого цвета волосы у человека в черных штанах,черный
5877,qmar8pDP5co,какого цвета волосы у человека в черных шортах,черный
5878,zlXvqnBqVvI,какого цвета волосы у человека в синих штанах,черный
5879,hDV6wQKvKCg,какого цвета волосы у человека в розовой одежде,золотой
5880,lx83HHNNrlc,какого цвета волосы у человека в розовой одежде,белый
5881,liK3LME0gNY,какого цвета волосы у человека в розовой одежде,золотой
5882,TtQPtLPTqBA,какого цвета волосы у человека в розовой одежде,золотой
5883,h8J08sJ2no0,какого цвета волосы у человека в розовой одежде,черный
5884,LrmtSSUVRaQ,какого цвета волосы у человека в розовой одежде,черный
5885,5Z5DAI4Grb0,какого цвета волосы у человека в розовой одежде,коричневый
5886,AG6Rpvxxetg,какого цвета волосы у человека в красной одежде,черный
5887,faF9-lWmK3Y,какого цвета волосы у человека в красной одежде,золотой
5888,6EN1q4TmPtI,какого цвета волосы у человека в красной одежде,черный
5889,q_eRxmeGJBY,какого цвета волосы у человека в красных шортах,золотой
5890,YnvefOl6a7k,какого цвета волосы у человека на видео,черный
5891,ueDoskgg2yw,какого цвета волосы у человека на видео,черный
5892,MzYA5oo-mzk,какого цвета волосы у человека на видео,желтый
5893,Y6UKk3t8Hj8,какого цвета волосы у человека на видео,золотой
5894,n7ED3zaQqws,какого цвета волосы у человека на видео,черный
5895,NB4IBjUmrcI,какого цвета волосы у человека на видео,желтый
5896,1-nEQf-TJPE,какого цвета волосы у человека на видео,черный
5897,GgfyTMpHfnI,какого цвета волосы у человека на видео,золотой
5898,HD4aY4ATCFY,какого цвета волосы у человека на видео,черный
5899,G9m5zxl2f08,какого цвета волосы у человека на видео,золотой
5900,hDpYoAAFwOA,какого цвета волосы у человека на видео,черный
5901,Xf8y5_b2dq4,какого цвета волосы у человека в белой одежде,серый
5902,tQ9yPS_BJHQ,какого цвета волосы у человека в белой одежде,черный
5903,LbGr5TjfTBY,какого цвета волосы у человека в белой одежде,коричневый
5904,x_BIktHkEc4,какого цвета волосы у человека в белой одежде,коричневый
5905,-rKS00dzFxQ,какого цвета волосы у человека в белой одежде,серый
5906,Q6XjxUlbP2M,какого цвета волосы у человека в белой одежде,черный
5907,nQjxgOz1WYo,какого цвета волосы у человека в белой одежде,черный
5908,JouywOCeGHI,какого цвета волосы у человека в белой одежде,черный
5909,PntiXZ692xM,какого цвета волосы у человека в белой одежде,черный
5910,Zso0ZBs2y6E,какого цвета волосы у человека в белой одежде,серый
5911,DIF8qouivIU,какого цвета волосы у человека в белой одежде,черный
5912,9Pun6fgAg8Q,какого цвета волосы у человека в белой одежде,черный
5913,y8OQkNk8WpY,какого цвета волосы у человека в белой одежде,золотой
5914,W0RYvQUUNe0,какого цвета волосы у человека в белой одежде,золотой
5915,Z9pWpZK4k2M,какого цвета волосы у человека в белой одежде,черный
5916,VZ2CPdIPa30,какого цвета волосы у человека в белой одежде,черный
5917,w6kBE7BHHeU,какого цвета волосы у человека в белой одежде,черный
5918,VyD5Z0S9tXU,какого цвета волосы у человека в белой одежде,коричневый
5919,nUghBtcrTPA,какого цвета волосы у человека в белой одежде,черный
5920,weeD4A7gl2A,какого цвета волосы у человека в белой одежде,черный
5921,TVeIcQOvMZI,какого цвета волосы у человека в белой одежде,серый
5922,-tv6laq1ic0,какого цвета волосы у человека в белой одежде,золотой
5923,W_LjBXWG7wI,какого цвета волосы у человека в белой одежде,золотой
5924,ZeN0mrRQHg8,какого цвета волосы у человека в белой одежде,золотой
5925,rwUlqI6HWyY,какого цвета волосы у человека в белой одежде,белый
5926,ZwIu2pPxB3Y,какого цвета волосы у человека в белой одежде,золотой
5927,xCVZBvwhoWE,какого цвета волосы у человека в белой одежде,черный
5928,ZoKZTceDTLA,какого цвета волосы у человека в белой одежде,черный
5929,r7E7cVoJ0JE,какого цвета волосы у человека в белой одежде,черный
5930,X2LI_I_qw-A,какого цвета волосы у человека в белой одежде,коричневый
5931,W3KCFRADoX8,какого цвета волосы у человека в белой одежде,черный
5932,ldjIg23Rofw,какого цвета волосы у человека в белой одежде,коричневый
5933,NpKBAtQ5M6I,какого цвета волосы у человека в белой одежде,золотой
5934,z6IsPWucZnU,какого цвета волосы у человека в белой одежде,черный
5935,y0VZOcxbjRM,какого цвета волосы у человека в белых штанах,черный
5936,ZdgWC6Jk2Nk,какого цвета штаны у человека в черном пальто,белый
5937,N0DA6RpIf5Y,какого цвета штаны у человека в черном пальто,черный
5938,dD3eR9Sb1x0,какого цвета штаны у человека в черной одежде,фиолетовый
5939,ZJCbT3300OA,какого цвета штаны у человека в синем пальто,черный
5940,dB4SbhaQQV8,какого цвета штаны у человека в синем пальто,синий
5941,wvlyV067oOU,какого цвета штаны у человека в синей одежде,красный
5942,3HHAEmr0Q34,какого цвета штаны у человека в синей одежде,черный
5943,pF8jt67vTDY,какого цвета штаны у человека в синей одежде,черный
5944,DozJpP2cClI,какого цвета штаны у человека в синей одежде,черный
5945,rFXOInUQjKo,какого цвета штаны у человека в синей одежде,серый
5946,Q7eK0xT6VSQ,какого цвета штаны у человека в сером пальто,синий
5947,WwwfCw1dYlg,какого цвета штаны у человека в шляпе,черный
5948,fpIS8jWoK9w,какого цвета штаны у человека в шляпе,черный
5949,EAp9xQx2o6k,какого цвета штаны у человека в шляпе,черный
5950,x2ztI3YNu9o,какого цвета штаны у человека в шляпе,черный
5951,FhbsTTHT2Zs,какого цвета штаны у человека в фиолетовой одежде,белый
5952,HfowLX1u38Y,какого цвета штаны у человека в фиолетовой одежде,синий
5953,ZLJJ5LxfE6o,какого цвета штаны у человека в красном пальто,белый
5954,znoMrA2qCbA,какого цвета штаны у человека в красном пальто,черный
5955,uFMlVrTUoR8,какого цвета штаны у человека в красной шапке,синий
5956,jgHYzuDU2Iw,какого цвета штаны у человека в рубашке,серый
5957,fpWOf1DR1oA,какого цвета штаны у человека в рубашке,черный
5958,-wFNUGYf298,какого цвета штаны у человека в белой одежде,серый
5959,Rte9HqaQ1tw,какого цвета штаны у человека в белой одежде,черный
5960,x_luDzL03vw,какого цвета штаны у человека в белой одежде,черный
5961,hFzMCWZ3Jps,какого цвета штаны у человека в белой одежде,черный
5962,w-st-23ZQSs,какого цвета штаны у человека в белой одежде,серый
5963,Lml6HGhM4yg,какого цвета штаны у человека в белой одежде,синий
5964,-nskwoky7vk,какого цвета штаны у человека в белой одежде,черный
5965,Z7BPvGPizYE,какого цвета штаны у человека в белой одежде,черный
5966,U0Q10ZdqnJo,какого цвета штаны у человека в белой одежде,черный
5967,TsPh4-BsCYk,какого цвета штаны у человека в белой одежде,черный
5968,uMCyo89mK_E,какого цвета штаны у человека в белой одежде,черный
5969,LlgGMRw16UY,какого цвета штаны у человека в белой одежде,серый
5970,lnx8WSmcLF8,какого цвета штаны у человека в белой одежде,красный
5971,JhqQGe0TkBU,какого цвета штаны у человека в белой одежде,черный
5972,LtQTtCplKz0,какого цвета штаны у человека в белой одежде,синий
5973,QBlveXzAZsY,какого цвета штаны у человека в белой одежде,черный
5974,J7Q3b1uFHyc,какого цвета штаны у человека в белой одежде,черный
5975,x08PpU3uQ6Y,какого цвета штаны у человека в белой одежде,коричневый
5976,tRAntV9Om2o,какого цвета штаны у человека в белой одежде,синий
5977,5yqHTGQm2B0,какого цвета штаны у человека в желтой одежде,черный
5978,Lyi8-hf1rCw,какого цвета штаны у человека в желтой одежде,зеленый
5979,u1upxlAgsqM,какого цвета штаны у человека в желтой одежде,черный
5980,QaNQrUpmmgo,какого цвета штаны у человека в оранжевой одежде,черный
5981,nVN1rP8H688,какого цвета штаны у человека в зеленой одежде,черный
5982,q4FZTmaqEx8,какого цвета штаны у человека в зеленой одежде,красный
5983,DOfpOkDHe_8,какого цвета штаны у человека в зеленой одежде,черный
5984,HbF6UM4jUDk,какого цвета штаны у человека в зеленой одежде,черный
5985,q6bl7g5JGng,какого цвета штаны у человека в зеленой одежде,черный
5986,TvlCdfubl9Y,какого цвета штаны у человека в зеленой одежде,черный
5987,VFvHqc5Bg-0,какого цвета штаны у человека в зеленой одежде,красный
5988,WTOTYZOu3MQ,какого цвета штаны у человека в зеленой одежде,черный
5989,0zXTrkgUj0U,какого цвета штаны у человека в зеленой одежде,синий
5990,jAlYwQevBxA,какого цвета штаны у человека в зеленой одежде,черный
5991,j3h8Di7V3nk,какого цвета штаны у человека в сером,зеленый
5992,QFz-keqof9g,какого цвета штаны у человека в сером,серый
5993,VTFIAQVjHv8,какого цвета штаны у человека в сером,черный
5994,nwttSIR1qvs,какого цвета штаны у человека в сером,синий
5995,mhHoL-9mY1E,какого цвета штаны у человека в сером,синий
5996,hGUUlFxygmw,какого цвета штаны у человека в розовой одежде,синий
5997,T-vwsIOVNTw,какого цвета штаны у человека в красной одежде,черный
5998,DOONG5zq1Yg,какого цвета штаны у человека в красной одежде,черный
5999,lIb8_YksZyg,какого цвета штаны у человека в красной одежде,зеленый
6000,DmaPpBMsuXg,какого цвета штаны у человека в красной одежде,черный
6001,Ocvdvqvu7I8,какого цвета штаны у человека в красной одежде,синий
6002,rRoRvt4p2LU,какого цвета штаны у человека в красной одежде,синий
6003,VSdjLyGA8Oc,какого цвета штаны у человека в красной одежде,белый
6004,HHDMFrN7vFs,какого цвета штаны у человека в красной одежде,черный
6005,LkwkGj27pP8,какого цвета штаны у человека в красной одежде,белый
6006,h_Kt_rqmODs,какого цвета штаны у человека в красной одежде,черный
6007,FeKEqUxiReA,какого цвета штаны у человека в красной одежде,синий
6008,PzERiygIpkg,какого цвета штаны у человека в черной одежде,серый
6009,rVxxAI6wlXk,какого цвета штаны у человека в черной одежде,серый
6010,rq-Xyoo5Rs0,какого цвета штаны у человека в черной одежде,черный
6011,Z_F01eV0Iqw,какого цвета штаны у человека в черной одежде,красный
6012,ZIFxB0gZ5tY,какого цвета штаны у человека в черной одежде,коричневый
6013,nxFbmoV3Idk,какого цвета штаны у человека в черной одежде,черный
6014,RYv3eIxMouY,какого цвета штаны у человека в черной одежде,черный
6015,U4ua-VD7hNM,какого цвета штаны у человека в черной одежде,черный
6016,ZIvekQVbCZ4,какого цвета штаны у человека в черной одежде,черный
6017,XxM72xEvsjE,какого цвета штаны у человека в черной одежде,синий
6018,wEgt41AJaU4,какого цвета штаны у человека в черной одежде,черный
6019,FrVitupq7sQ,какого цвета штаны у человека в черной одежде,черный
6020,wUg9S2xx850,какого цвета штаны у человека в черной одежде,коричневый
6021,JAEMwQqh51c,какого цвета штаны у человека в черной одежде,зеленый
6022,17nr8u_ze0o,какого цвета штаны у человека в черной одежде,черный
6023,Wgr9YpWni30,какого цвета штаны у человека в черной одежде,серый
6024,qkHBMmMlEr8,какого цвета штаны у человека в черной одежде,черный
6025,JgHubY5Vw3Y,какого цвета штаны у человека в клетчатой ​​одежде,коричневый
6026,wBij_rEXdCk,какого цвета штаны у человека в клетчатой ​​одежде,черный
6027,Oya9LWABkf4,какого цвета штаны у человека на видео,черный
6028,3zjhYw-TVQw,какого цвета штаны у человека на видео,коричневый
6029,I9ZeyASdgTk,какого цвета штаны у человека на видео,красочный
6030,p4YTDxTASBI,какого цвета штаны у человека на видео,белый
6031,GSXP6BYeS-o,какого цвета штаны у человека на видео,красный
6032,y80Jbcb5GWA,какого цвета штаны у человека на видео,черный
6033,6Lh3yNFvskc,какого цвета штаны у человека на видео,серый
6034,qiw2I1oQIVQ,какого цвета штаны у человека на видео,синий
6035,qbUQVhjQJ48,какого цвета штаны у человека без одежды,черный
6036,ZG4ApSk5iKw,какого цвета штаны у человека без одежды,черный
6037,f1HMhfSlPSw,какого цвета обувь у человека в черных штанах,зеленый
6038,ORI5ZNZARw8,какого цвета обувь у человека в черных штанах,черный
6039,C0F-xroK_Eg,какого цвета тарелка,белый
6040,6d9z33GFEGo,какого цвета тарелка,белый
6041,K9kVsnTQh-g,какого цвета тарелка,белый
6042,Vi2gzCrS-fE,какого цвета тарелка на видео,белый
6043,slUvIngXl4g,какого цвета игровое поле,желтый
6044,QsRW8dj-F7M,какого цвета игровое поле,зеленый
6045,FBqtQ3HCk48,какого цвета тыква,красный
6046,uE_8WuNO7cA,какого цвета тыква,апельсин
6047,ODblEia5mcI,какого цвета одеяло на видео,белый
6048,UlddctIswqo,какого цвета волосы у человека в красной одежде,желтый
6049,oG4zf8dAQKw,какого цвета волосы у человека в красной одежде,коричневый
6050,jYphKtLFIUk,какого цвета волосы у человека в красной одежде,черный
6051,QQQ7jSVSG3A,какого цвета волосы у человека в красном платье,черный
6052,uE6_kwnfDCQ,какого цвета волосы у человека в красном платье,черный
6053,exzuzQLrv7g,какого цвета одет судья,белый
6054,Oyi0X-rwUg8,какого цвета одежда судьи,синий
6055,wlYxVUJSJVI,какого цвета одежда судьи,апельсин
6056,ufK2mbJI0to,какого цвета одежда судьи,желтый
6057,8ofNg0y8w60,какого цвета одежда судьи,белый
6058,SaBcTNvRA6g,какого цвета холодильник,белый
6059,twQbAuWVxlU,какого цвета крыша на видео,черный
6060,yL7tvoBkkkI,какого цвета веревка на видео,зеленый
6061,8NcRuVMSQLs,какого цвета взлетно-посадочная полоса,красный
6062,8Mdnvm8olC0,какого цвета взлетно-посадочная полоса,красный
6063,uc1RbyLfuSs,какого цвета парус,белый
6064,-s1MQAiOMeY,какого цвета парус,белый
6065,uFtP9Z_K87U,какого цвета море,синий
6066,gmFioIDX4X0,какого цвета корабль на видео,красный
6067,qpdREcmjhUw,какого цвета шорты у человека в красной одежде,белый
6068,XOUyGnr6iTM,какого цвета шорты у человека в красной одежде,черный
6069,otGlbzsPIi0,какого цвета шорты у человека в красной одежде,красный
6070,YS3Q47uz3HI,какого цвета лопата,красный
6071,ub0pmYL8i5s,какого цвета раковина,серебро
6072,kC1DyxcRHBg,какого цвета раковина,белый
6073,li16LYa7us8,какого цвета юбка на видео,апельсин
6074,-wWtZjqIH9o,какого цвета слайд,синий
6075,UciHec7xncc,какого цвета слайд,желтый
6076,YOLDcsX7EiA,какого цвета снег на видео,белый
6077,M4db4WfqDoE,какого цвета снег на видео,белый
6078,YDNEa5ZOf6c,какого цвета снег на видео,белый
6079,h-A3CAx_eyU,какого цвета диван,серый
6080,W01QffZYsxQ,какого цвета диван,розовый
6081,yPEf9ajKwI8,какого цвета диван,синий
6082,On4V94fVLpg,какого цвета диван на видео,белый
6083,G5HZX5i26us,какого цвета диван на видео,коричневый
6084,eyWerZITH1Y,какого цвета куртка спортсмена,белый
6085,M-PQajs86Bo,какого цвета кресло у качелей,синий
6086,3w5xIOwFUXU,какого цвета стол,белый
6087,kqVIHq94kgs,какого цвета стол,коричневый
6088,e6Ti5g_zQ_4,какого цвета стол,зеленый
6089,---9CpRcKoU,какого цвета стол,синий
6090,xOTW_-tiEjY,какого цвета стол,желтый
6091,InHt3sukfeg,какого цвета стол,белый
6092,ZSoPIyVJWWk,какого цвета стол,черный
6093,ok6LTNirAPo,какого цвета стол на видео,красный
6094,fT7dpRY0DTo,какого цвета плитка,белый
6095,MFvdMVCzfB0,какого цвета зубная щетка на видео,желтый
6096,I6gc2AjcYOY,какого цвета полотенце,белый
6097,B-KSdR2ct00,какого цвета полотенце на видео,зеленый
6098,ORL5yMppl8E,какого цвета полотенце на видео,желтый
6099,QPxiOzXkUFM,какого цвета дерево на видео,зеленый
6100,Pt0CjFgzpxM,какого цвета штаны у человека в оранжевой одежде,синий
6101,Dx9wjBdbZ1M,какого цвета штаны у человека в оранжевой одежде,серый
6102,K9cQxJ37xzA,какого цвета штаны у человека в фиолетовом пальто,черный
6103,wr_1p7obP-g,какого цвета штаны у человека в синей одежде,коричневый
6104,tEAEFVJGGG0,какого цвета штаны у человека в синей одежде,белый
6105,JXucFXh58VE,какого цвета штаны у человека в коричневой одежде,черный
6106,c6Cbq-WNq9M,какого цвета штаны у человека в коричневой одежде,серый
6107,q8mReXud6fE,какого цвета штаны у человека в коричневой одежде,черный
6108,uC27rJLCn70,какого цвета штаны у человека в синем пальто,черный
6109,TdFvHyfq97o,какого цвета штаны у человека в белой одежде,черный
6110,f2LGG2ocbu8,какого цвета штаны у человека в белой одежде,черный
6111,ta4QlTBHTTw,какого цвета штаны у человека в белой одежде,белый
6112,pu-2w-UxdYg,какого цвета штаны у человека в белой одежде,серый
6113,y1CzJvvItrM,какого цвета штаны у человека в белой одежде,белый
6114,ooadlJjyibo,какого цвета губка на видео,фиолетовый
6115,kQoGS3YjBXk,какого цвета стена,красный
6116,3nvVkcxxaJ4,какого цвета стена,апельсин
6117,9029wVyGkvg,какого цвета стена,синий
6118,XTErpg4IdiE,какого цвета стена,желтый
6119,p2RMXdo5avw,какого цвета стена,розовый
6120,D707ZMWH7jQ,какого цвета стена,синий
6121,e34P8tr-Mi4,какого цвета стены в комнате,белый
6122,67NwPB79MTo,какого цвета стены в комнате,белый
6123,8leZKBY0B6I,какого цвета стены в комнате,желтый
6124,lue8XE3MEe8,какого цвета стена на видео,апельсин
6125,_K88UOvtQPk,какого цвета стена на видео,зеленый
6126,dWUEAavKWmI,какого цвета стена на видео,зеленый
6127,5Y4YkCkgShc,какого цвета стена на видео,апельсин
6128,5Q8ltS84BBg,какого цвета стена на видео,апельсин
6129,60CCYfec2vQ,какого цвета стены дома,белый
6130,I-vi5EpjrFI,какого цвета часы,белый
6131,YotaXgC6Ee8,какого цвета вода на видео,синий
6132,ouqYXdtEuCI,какого цвета вода в бассейне на видео,синий
6133,kIjYdddY3Xk,какого цвета волосы у человека в белом халате,черный
6134,kdRcWkrZRZo,какого цвета волосы у человека в белом халате,черный
6135,OOcsprnRCQQ,какого цвета волосы у человека в белом халате,черный
6136,Geh_BZchxFY,какого цвета волосы у человека в белом халате,черный
6137,G6W6wen6n7w,какого цвета волосы у человека в белом халате,черный
6138,uBCLX7hfZLQ,какого цвета волосы у человека в белом халате,желтый
6139,fevlUD03yCM,какого цвета волосы у женщины в синей одежде,золотой
6140,4qONyTNaPOI,какого цвета волосы у женщины в синей одежде,коричневый
6141,bzZMUbtgZho,какого цвета волосы у девушки на видео,желтый
6142,5kdiJ2cC5_w,какого цвета волосы у девушки на видео,золотой
6143,f5xSylPY_bQ,какого цвета волосы у девушки на видео,черный
6144,3JNNjd9fv7U,какого цвета волосы у женщины в белой одежде,коричневый
6145,iyGv338SnrQ,какого цвета волосы у женщины лежащей на кровати,белый
6146,iYH0Ol3xIZU,какого цвета волосы у женщины лежащей на кровати,белый
6147,PN99KIY7jRY,какого цвета волосы у человека в желтой одежде,черный
6148,zWA4Fb4fVmE,какого цвета волосы у человека в желтой одежде,черный
6149,7lNAmkaMyyg,какого цвета эта машина,черный
6150,CteuM2BUmHo,какого цвета штаны у человека в видео,черный
6151,dufQjqa3v6w,какого цвета штаны у человека в видео,белый
6152,E0U3v4WLuEA,какого цвета штаны у мужчины,черный
6153,biAQgXDFskw,какого цвета штаны у мужчины,белый
6154,QinlLV8QKBU,какого цвета штаны у человека в черной одежде,серый
6155,53tCYiyAyf0,какого цвета штаны у человека в черной одежде,черный
6156,NyNuB328oi0,какого цвета штаны у человека в белой одежде,черный
6157,9N1525JmqZQ,какого цвета штаны у человека в белой одежде,серый
6158,-AaOr1DI2no,какого цвета штаны у человека в белой одежде,черный
6159,f7qFnCkFIuQ,какой цвет брюк носит женщина,синий
6160,p4qZGZenAoU,какой цвет брюк носит женщина,черный
6161,9o_SlEkq-L0,какой цвет обуви у человека на видео,черный
6162,u2hzK9YyIXY,какого цвета обувь у человека в черной одежде,черный
6163,81F42Yyw_iY,какого цвета обувь у человека в синей одежде,желтый
6164,80pIiAmVa5Q,какого цвета обувь у человека в черной одежде,белый
6165,14AnvDNV5BI,какого цвета обувь у человека в белой одежде,черное и белое
6166,n0Az4cLruf4,какого цвета часы у человека в черной одежде,черный
6167,y_HCdBEJbNE,какого цвета обувь у человека в черной одежде,синий
6168,tO1VJnsd8sg,какого цвета обувь у человека в черной одежде,белый
6169,HVfr9FnEj-Q,какой танец исполняет человек в черном,индийский танец
6170,yJN4jnk_S1U,какой танец исполняет человек в платье,танец живота
6171,ohNtDBYmhX0,что носит человек в черном,защитная шапка
6172,z93quI8Gxx4,что носит человек в черном,Солнцезащитные Очки
6173,MleQSQt6Utw,что носит человек в белом на лице,Солнцезащитные Очки
6174,wkJWeSw8FSE,что не носит человек в белом,камень
6175,nXVNITiaaTQ,какая прическа у человека в сером,короткие волосы
6176,H_xL4tssqEU,какая прическа у человека в сером,вьющиеся волосы
6177,nwttSIR1qvs,какая прическа у человека в сером,короткие волосы
6178,nPTq63WtemI,что носит человек в белом,очки
6179,N6vpa6BarX4,что носит человек в белом,одеваться
6180,eypKc4FyZ2s,что это видео хочет выразить,введение
6181,1VAugQRO05g,что это видео хочет выразить,парад
6182,smk2WJV1Zmo,что носит человек с косой на лице,Солнцезащитные Очки
6183,3nvVkcxxaJ4,что носит человек с косой на лице,очки
6184,sra0ywgWITo,что носит человек в зеленом на лице,очки
6185,h7cetqsBVn0,что носит человек в зеленом на лице,Солнцезащитные Очки
6186,loUYsxA2RHg,что носит человек в зеленом на лице,очки
6187,xBO66pI09rE,что носит человек в зеленом на лице,очки
